ut	nuts2
000400778401010	DK05
000423091100052	NL33
000468167900089	DK05
000401616000010	FI1B
000309184100096	NO09
000489190400048	FR10
000454822700052	NL33
000360868500010	FRJ1
000399269300008	UKM8
000393467600045	ES51
000320717600010	DK04
000432411800025	TR90
000333287200008	DEF0
000329035000002	IE06
000322090300090	UKK1
000298962502200	CH01
000346665900012	TR61
000345069400004	BE24
000482628500133	DK05
000297878100034	TR31
000471252700001	UKG3
000397026200026	ITF4
000350338100028	TR51
000415108300015	TRA1
000344207300003	DEE0
000333079100010	DE30
000323569900036	BE24
000398834200028	DE50
000287316500018	SE12
000398603600123	PT17
000422868902073	BE10
000378882903144	ITI4
000351744400005	UKD3
000304975500008	RO32
000357997300036	DEA2
000356919700014	PT15
000310623800196	EL30
000401683400014	UKK1
000311865900046	ES23
000388656800007	UKC2
000274827000053	EL30
000382950703165	PT11
000451218700022	ES21
000344193600064	DEF0
000394671200017	BE24
000297277200030	ES61
000309117700132	DK05
000306971000004	PL21
000374849500004	ES21
000407086800005	DK01
000344542000020	BE24
000384641600064	DK03
000400778402040	ES61
000430892900012	TR31
000375231000063	DED2
000303204100036	NL33
000309118100308	ES51
000273771700031	ITC1
000350157000004	UKF1
000404254200003	DK05
000377572200117	AT13
000390503300006	UKI3
000345862300068	UKC2
000327945100002	BE23
000393467600247	PT16
000447282400160	SE11
000374164600039	FRK2
000356118900005	ES61
000315612100005	ES61
000402990700101	FRG0
000347799500038	FRF3
000368649000009	TR90
000310389000028	ES30
000304263700031	NO06
000330794300001	DEA5
000448787800014	FI19
000345251500006	DEA2
000309526200015	NL32
000285514400012	PT11
000414817100112	ES30
000428016500017	SE12
000287759100019	DED5
000390513500008	UKG3
000291920000021	FRG0
000379955000045	UKM8
000331015600020	ITH2
000426764000468	ITF3
000303894700010	ITH5
000430519200020	FRJ1
000447168300005	DE94
000418020600014	PL21
000337739300007	UKD3
000402355100011	SE12
000368676300045	NO06
000313581900013	UKJ3
000419169600099	FRF3
000493492100002	FR10
000403212100065	UKE3
000336217000031	FI19
000475931100009	SE23
000458692300042	DK05
000504767900011	ITI4
000273930800045	IE06
000389726700006	FRC1
000417631900008	DK02
000450084400165	PT16
000344364500007	FRJ2
000475354700083	EE00
000415370200058	CH02
000376164100110	ES51
000374877000001	PT16
000272956700011	RO22
000427441000001	UKG3
000455204800321	TR42
000355204800024	UKE3
000378882902004	UKM8
000399937903055	IE06
000390494800103	DEA2
000426933001137	FRH0
000320386200014	TR10
000499678700006	PL21
