ut	nuts2
000273630400007	DK03
000222531400095	ITH4
000175567400002	UKI3
000247572500003	NO09
000256423600028	DE14
000170880600002	FRE2
000270133900023	TR51
000235859300001	SE23
000269366500002	DK01
000166297600006	DEG0
000270967800026	FR10
000262946700058	ITH5
000236624100102	ITI4
000269356900022	UKM7
000208324600230	NL31
000253911600005	ES30
000279096900042	UKM8
000171273500002	FRJ1
000085412600048	NL11
000330488100073	NO08
000374359600020	FI1C
000220719400042	UKH1
000343337200116	ITF6
000170349200011	DEA4
000253173700003	ITF3
000260981400012	NO06
000236745700009	SE23
000242786200053	NL22
000263694400018	NL11
000178795800002	PT17
000242786200053	NL32
000174640900007	UKG1
000246990000022	DE30
000256643300028	ITC1
000247305900002	DED2
000239538300013	DK03
000223668500029	CH04
000269356900022	SE23
000178587600001	EL30
000262564600007	ITC4
000087601600037	DE21
000220342200008	ITF6
000226232700043	FRI1
000270810300076	FRK2
000256900500022	DE30
000254517101066	PT17
000170880600002	FRG0
000242279500008	ES30
000235656700001	DEG0
000168735500005	SK01
000205747600005	BE35
000272846000008	ITH4
000267432000023	UKF1
000245199400010	UKD4
000272191800108	FRI3
000325587300017	DK05
000241644200057	NL31
000245260500027	UKE4
000254647400034	FRE1
000180943800121	DED2
000253471500018	UKD3
000180943800121	AT13
000264423100003	PT16
000269141300019	FRK2
000245717600011	ES51
000257468300053	PL81
000232013900020	SE23
000242813800003	SK01
000264979100009	UKG3
000233481700019	FRI1
000258369200005	FRH0
000244628300011	ES52
000235626000006	SE12
000185155400005	BE24
000252597700038	FRE1
000330488100073	UKI3
000178587600001	PT17
000274847500012	ITF3
000256043200008	SE12
000271754200008	UKE3
000259017500035	IE05
000182068300022	DE94
000222154100005	FRE1
000242339600011	FI1B
000237957400049	FI1B
000223086300022	DK03
000279096900042	AT22
000246002100212	PT15
000237175200004	UKN0
000172956200054	NL11
000089799900051	HR05
000274635500052	NO06
000267196700025	IE05
000270115900002	NL11
000088071600011	SE12
000250717700058	DK05
000272610800001	FRJ2
000268783500020	CH01
000236776800016	CH04
000253702200239	UKM5
000336893607136	ES21
000249222400002	UKI3
000220351200042	PL22
000088546300004	FRJ1
000245501500009	FRG0
000255262900013	DED2
000239238500036	BE35
000243311200091	SE12
000237841900008	ES30
000249241300038	BE10
000245012900055	FRJ1
000236696600003	SE12
000363344800021	UKI3
000174545300013	NL42
000273367100001	UKK1
000253649400045	NL22
000256550600056	ITH4
000257254800004	FRK2
000228042400033	UKJ1
000246658100011	ITH4
000230248500046	DE91
000167290800051	FRC1
000181309600034	FRE2
000243582400105	SE12
000250717700060	PT16
000238558500043	UKF1
000268630701148	DK05
000234133300044	NL33
000245967700002	NL22
000171593000096	IE05
000253761500121	UKE3
000258621400003	FRG0
000242689200006	FRF1
000174007100037	DE21
000263946200098	ITC1
000179630800069	SE23
000222531400095	DEA2
000269258000072	NL12
000260981400012	UKH1
000181309600032	SE23
000230104400006	NL33
000178467500015	SE12
000087874200003	DEA1
000234647200023	DEB3
000254452200003	NO06
000182781500011	NL42
000226121600001	UKC1
000244161800021	SE11
000238217000045	FRE2
000253471500018	FRB0
000244420600074	ITH4
000235411800010	FR10
000250580600011	FRJ1
000206300800004	UKF2
000247542500029	DED2
000225385500012	SE23
000226214300042	SE23
000261056500008	FRK2
000220999500007	DE30
000171593000094	IE05
000172076400001	DE23
000240524800005	SE12
000266786500066	UKJ3
000223489700006	AT33
000236577300003	UKE4
000266197300002	FRJ1
000237931500020	DED2
000281212900049	DED2
000182068300022	DE72
000257125800001	DE11
000246877600005	SK01
000233877800004	UKD4
000246877600005	SK02
000267587200007	BE33
000249748600012	DK01
000171314600015	DEA2
000223195700023	SE33
000276074404111	ITI4
000269573900026	UKF1
000185293500048	FRF3
000249748600012	FRK2
000173615300005	SE23
000236814100023	UKJ3
000266633500264	ITF3
000240237400033	FR10
000263581700080	ITF4
000251916100005	CZ01
000252782400018	DK01
000271370600007	HU11
000411537200080	FI1B
000257468300046	DED5
000184747400011	FRK2
000086338200005	DE91
000262646901060	DEE0
000242408700081	DE91
000246002100114	ITC3
000234342900103	UKE1
000182068300022	DE21
000267770900003	ES11
000223086300022	CH03
000208787900006	IE06
000424423900007	UKM7
000177771500002	DEC0
000253848600007	IE06
000374359600020	DE30
000258204600014	IE05
000363344800021	NO08
000205747600005	BE24
000249320500003	UKG1
000185519700007	ES24
000342278800009	IE06
000178795800001	PT17
000246002100212	PT17
000255871500019	CH04
000253649400045	NL12
000222531400095	FR10
000186390900015	DE21
000178587600001	UKM7
000183443400031	IE06
000232605500012	UKM7
000233437100043	FRF1
000089836500008	CZ01
000248686700004	NO08
000286999200021	ES41
000247397600001	DE72
000177771500002	FRK2
000303326500011	UKJ3
000247771200010	DE40
000245462200019	TR10
000270378100147	SE12
000253287700010	SE12
000276954300026	CZ01
000261282700002	DE30
000220812900009	NL31
000179348400008	FI1B
000248972900010	PT17
000272904100057	FI1D
000270378600036	UKF1
000265654500149	IE06
000225300800139	ITI4
000234547700056	DEA5
000169947800018	NL31
000174640900007	UKJ3
000175022500006	DK03
000253937500002	ITH3
000251678300028	ITH3
000269246200001	DEF0
000268138200054	FRK2
000171840700023	FI1D
000207603100004	UKD4
000228634500017	NL22
000232048800007	EL30
000222035200037	FRC1
