ut	nuts2
000230734100020	DEG0
000249366500005	NL22
000242771200081	DEB3
000186173300023	PL41
000264792300050	ITC4
000249167100070	FI1D
000245052400007	CZ01
000181227400005	DED4
000268329800044	FI19
000235371500008	FR10
000268991800008	DE14
000270164300016	CZ01
000226034600025	DEA2
000267095400023	ES30
000239426700077	NL41
000232786800024	UKJ3
000166465400021	AT22
000234015100022	FRI1
000264275300014	BE32
000268414200015	NO08
000272836900001	ES30
000262037900017	DE72
000251003500117	ES30
000234058600038	UKF1
000186744300002	DEA2
000263320400009	UKM7
000086762000051	DE71
000173561900336	SE23
000238499900003	ES24
000177319500016	DE27
000236594800045	FRI1
000226872600010	UKI3
000236250700011	DEA5
000254483100007	FRG0
000257664700073	FRK2
000227159400016	UKD6
000167818300007	UKN0
000174053800073	AT31
000086441200003	PT17
000238727100022	ES30
000223873000010	ITH4
000236467000041	DE14
000259654700007	SE12
000253798300026	FRF1
000267687800005	ES51
000256023400038	SE23
000272271600002	DE13
000220096200001	FR10
000269632500031	DE71
000230023400008	DE13
000222938100005	FR10
000242399500021	UKI3
000271605900023	NL41
000265709100007	ITI4
000262978200106	ITH4
000268395000071	UKD7
000272115600002	UKG3
000249983900003	FRK2
000084931200020	DEA1
000236584400035	NL33
000181839800002	ITH2
000169427800018	DEA2
000263093800006	DE21
000245005900012	ES52
000188066500011	DE91
000246861800013	DEA4
000267173700002	DE11
000186572300046	TR51
000175223500003	DE30
000243166700090	DEB3
000184588900004	SE22
000235787200022	FRK2
000245371300009	FRJ1
000260579800044	UKK1
000238144700093	PL91
000088845000002	ITI1
000280543603314	BE24
000179554700005	UKJ2
000184637700008	SI04
000167914300008	DE25
000189304700080	FR10
000184032700037	ITH5
000238084000003	DEA3
000271615900009	NO06
000238084600003	DEE0
000264689000018	DEA5
000255214200007	DE30
000188789900012	BE23
000267600000058	FI19
000085479500009	ITF4
000227403700028	UKI3
000226676800024	DEA1
000297590500028	UKM8
000224587600409	BE24
000223007800022	UKI3
000088564200006	DE30
000172089900017	DE23
000230507400048	NL21
000259799100056	FR10
000253613200004	DK01
000296982100026	ES51
000263320200062	FRI1
000258530100186	UKJ2
000261114800011	UKM8
000182569100009	UKD3
000245267400033	UKJ1
000250421800044	DEB3
000252289000014	FR10
000260129400014	ITG2
000270420700026	ITI1
000235444400001	DED5
000172022900010	ITF3
000235556500004	FR10
000220484500013	PL91
000177043100058	DE30
000237722000017	NL32
000247624900140	FRE1
000243606000002	DE21
000245882900037	ITI4
000172679500003	UKJ1
000168438400075	ITH5
000265659000018	EL63
000185761200036	DE21
000280276900016	DE26
000329595400053	NO08
000256838200005	CH01
000271428500005	DE71
000229341500007	SE12
000180094700042	SE12
000264689000001	UKH1
000084627400002	UKM7
000228818100015	SE11
000236916500004	FRK2
000089124000039	DE13
000264522900025	DEG0
000244250300043	DE30
000086211200011	CH01
000236363800038	BE35
000261013900007	UKI3
000225477800069	TRA1
000251324600012	SE11
000246052400009	BE23
000170944400015	CH07
000174670800003	UKD6
000237914800011	FRC2
000263556800015	DE21
000270286000033	UKL2
000266102000003	RO11
000271697300019	PL51
000238312300020	DEA4
000186214600009	UKI3
000085457900062	DE92
000229977400003	NL32
000224614600007	FRF1
000174631600002	LT01
000171584200019	ITF4
000271571300053	FI1B
000175702600010	RS11
000266207100017	NL33
000186128300010	FR10
000268826100006	UKD3
000254292400032	ES61
000272846000018	FRJ1
000254542800038	UKK4
000273228800005	UKJ1
000228445900014	AT33
000176613800006	CZ01
000188803000030	BE33
000271586500020	CZ01
000235326600005	ITH3
000248257300001	FRG0
000266840100009	FR10
000375245000100	NL41
000249254900016	FRC2
000228589700030	ITC4
000260435700046	PL91
000263298700065	SE23
000239291000041	PT16
000085141100014	ES41
000256005000004	CH03
000231548200004	DE12
000265961100057	UKH1
000280345900350	DED2
000258580500050	DK01
000231147200103	DE14
000185303600065	ITH4
000259991900014	FRL0
000257721300036	FRK2
000220781900039	DE11
000255618500003	SE11
000165858100005	UKG3
000245288600007	ITF3
000227735800013	ES52
000166505200026	ITH5
000244023700009	DEE0
000245510200055	DEA2
000165264800012	ITF3
000253488500006	CH02
000243454000011	CH01
000166647300041	UKE4
000184015000005	ES70
000266200800011	DEA2
000175643000012	PL91
000263518300005	FR10
000179691200021	UKI3
000236765300042	DE60
000255694200009	AT13
000206312800031	ES52
000170170800009	UKH2
000245347000011	UKJ1
000255703000032	TR51
000223319600006	DE11
000246465000041	ITG1
000221124300057	FRG0
000232026100008	BE24
000229804700017	ITF4
000269288500052	ES30
000252722000004	EL63
000262586300015	UKM7
000244220600006	ITC4
000166336500006	TR10
000229190900007	RO21
000266208700019	DEA5
000165167600057	CH04
000269361000013	DE25
000260581800074	DE11
000236119000015	DE30
000085054500005	CH04
000243144600002	FRJ2
000174564900009	CH01
000287006900050	UKI3
000252966100019	IE06
000224541000043	FRG0
000264274000003	UKK4
000249786500090	ITI4
000263167000074	ES30
000258603900017	ITH4
000170473500018	ITH5
000252831900061	DE92
000260899000013	UKH1
000261653000032	AT13
000264129400003	DEA4
000262336700022	DEA1
000274551000081	AT13
000271352000003	DEG0
000250725600037	SE22
000254842200041	DED2
000229296600037	ES61
000266967700037	UKI3
000172248700009	DE12
000186286600010	ES61
000245900100025	SE11
000238102800069	ITI4
000257016800010	ES30
000186301100006	DE27
000253099400009	PL21
000248633900042	SE23
000182469700012	AT13
000226484200025	CH03
000188880000008	PL63
000265466400012	UKN0
000259673500056	FRJ1
000241593700055	TR42
000242625700037	NL32
000252602900009	FRI1
000265317600151	FRJ1
000244578900004	UKI3
000263272100009	FRK2
000240076700007	CH04
000249596500008	IE05
000224214100006	CH01
000262843900009	NO06
000169835700055	FRD1
000247765600007	ES52
000173080700003	BE21
000253465500036	ES52
000247153900060	BG41
000261335100041	DE60
000271856900027	NL22
000250171600054	ES51
000234520300017	IE04
000255698500013	ES51
000269639300028	FI1D
000249515000019	DK04
000222784300018	DED2
000264764600004	PT11
000241757600056	FR10
000259690800006	UKI4
000229440700003	FRH0
000248353600009	CH02
000252461300072	SE33
000244622600036	ITI4
000220124700012	SE22
000242086400004	UKJ1
000232762100008	UKJ1
000252927300010	UKH1
000227372200073	DE30
000259287200006	NL32
000240680300062	FRK2
000232991900009	ITG1
000235297600038	ES30
000252858000055	DE12
000224172500016	PL22
000189482600029	BE24
000239554200002	ES61
000259120500046	DEG0
000185412000003	NO06
000249474000105	SE12
000183247700003	DE30
000262018700047	FRH0
000233458400017	ITH3
000229233800010	UKF1
000090132900067	UKH1
000176639900026	DE12
000165140700052	FR10
000166264900006	CH01
000181729600066	DE91
000230475600017	ITC4
000237973700010	ITH4
000249481600006	UKI3
000265282300012	PT17
000254408000007	NL42
000226139700037	CH01
000271669700023	SE11
000238806400015	DE30
000270766800076	FRL0
000228390600029	DE30
000182739600009	ITF1
000271428800004	PT16
000237389600034	CH04
000176653300018	UKM7
000263081900018	DEF0
000186669900006	ES30
000270083800109	UKJ3
000244480500016	FRK2
000263485600001	NL11
000257330100026	DE60
000226864600094	UKK1
000271756400005	DEB3
000263783800028	ITF6
000221249400005	DE21
000264380200060	DED2
000231255300003	ES52
000175940200007	PL51
000262781700020	PL22
000166595900037	UKK1
000245423800015	UKE3
000236969300081	CH01
000338305900057	DEA1
000230244300042	UKI3
000233144000013	FRC1
000255474500013	EL43
000239520300019	DK01
000174844700018	BE32
000232095800014	UKH3
000167932400011	UKK1
000175294400004	FRK2
000165935800152	DE91
000254681900012	ITF4
000165954500007	FRJ2
000258764600018	UKI3
000263815800022	UKK4
000230122900042	NL32
000180755800004	TR51
000231403600032	TR42
000229160100019	ITI1
000262605800065	PT17
000251004100005	FI19
000229751400014	DE27
000272153100005	UKI3
000271571300009	FR10
000255043200018	UKM8
000184768600077	DE60
000166983500040	NL33
000172029100040	ITH3
000256160300061	DEC0
000272604800004	FR10
000249759900251	TR51
000242689200006	FRF1
000267580000017	FRI1
000189087000006	FRJ1
000265340800008	FI1B
000225816800023	CH01
000265030000011	DEG0
000264850200004	FI1B
000227725600009	ES30
000229590100002	DEA2
000275655200217	SE11
000234096600109	FRJ2
000276522101077	SE11
000263755800001	DEG0
000263818900027	UKM7
000177202000019	IE06
000179080600056	ES24
000173163300008	DE25
000223932100014	LT02
000187859400013	UKH1
000249970900010	UKI3
000233458400036	LT01
000268032200003	EL52
000232485000008	FRK2
000277153600049	ITI2
000262988300019	CZ05
000179259900002	PL91
000265755800050	BE32
000249786000191	FRH0
000279099500089	UKL2
000242609500016	CZ01
000260227000009	UKI3
000234605900010	DE91
000174053800077	UKC1
000181670900026	ES30
000327530300058	DE13
000221732500009	LI00
000314179200009	IE06
000178461000016	ITF3
000248302000028	NO06
000179767900004	UKI7
000176075400004	ES52
000226453500011	DEG0
000179753800012	FRG0
000260398502261	CH03
000189279700068	DE12
000182123900002	ES52
000172658200012	ITH4
000230723900101	PL91
000257357000018	CH04
000178988000007	ITC4
000262200700048	ITH4
000167017400027	DE13
000184242600034	DE25
000260435700015	ES42
000174369800035	PL91
000168415600011	DED2
000187132500011	DED2
000289260000010	ITG1
000265467300053	ES70
000251182600017	RS11
000282668700003	UKF2
000182337000019	DE12
000260896200033	DE72
000173896400032	DE21
000263997500008	DEA1
000177023400068	FR10
000242887400172	ITF4
000248783300014	UKG3
000253599700001	PL22
000243982000089	ITC1
000224096500018	FI1C
000221936200004	CZ01
000181100900026	NL33
000241517400051	ES30
000247984500039	ES51
000245877200132	UKH3
000228737900025	DED2
000168906800019	DE14
000269654900027	DEG0
000170494000006	SE23
000249035200015	UKJ1
000266229301165	ES30
000188205500003	PT16
000270591700009	DE71
000182640500008	PT16
000233983900059	ITH3
000227420600017	DEA5
000088347300006	DEE0
000222829600026	SE11
000244292700022	DE11
000167227500012	NL41
000227026100011	DE80
000249312000016	FRG0
000183136900003	PL91
000185239600045	UKH1
000088563900010	ITC4
000165659500041	FRI1
000168379100026	UKH1
000233488800026	EL30
000182082600002	DEB3
000263261700005	UKD3
000246890800089	FRI1
000257951200042	CY00
000088347300009	DEA1
000260283000004	DE11
000244993800067	DE23
000238746100032	DE25
000089192600034	ES30
000225662000029	ITI1
000177444000009	UKK4
000233133400013	FR10
000243874300004	DED2
000256838400012	ES30
000264374600013	UKE2
000262534900012	UKI3
000244805500003	UKJ1
000272188000011	ES61
000260218400009	CZ01
000253181700025	DE25
000240776500037	DE21
000251155700014	FR10
000189190800010	DE40
000270067400002	NL41
000244683100045	RO32
000265861800002	EE00
000258217000027	DEE0
000250992900006	FRK2
000256706000013	NL41
000188855300014	DEB3
000261561900012	NL41
000277329600011	NL21
000178295700010	CH06
000221855400004	DE21
000257186500010	HU11
000237921100007	DE24
000267635500084	DE14
000273347700010	CY00
000322453900009	FI1B
000245782800058	UKM7
000221207400010	TRB1
000185734000009	NL41
000260622700029	UKK1
000269154000010	UKM7
000255865200004	RO32
000225780300006	NL41
000259794100012	FR10
000302997400140	FRK2
000250333000012	ITI3
000269289300006	UKG2
000249648700039	UKK4
000233675600010	DE21
000220385600001	AT31
000178318000060	FRK2
000257113400015	FR10
000186858300002	ITG2
000238696200012	DEC0
000261141400065	ITC4
000268163800007	CH04
000232322700011	ES51
000231822100051	NL41
000184084300021	NL33
000272852400017	FR10
000177832500027	DEA1
000261768700013	UKF1
000187918100008	ITC4
000262002900018	FR10
000221205100039	CH01
000256643500001	NL41
000084886300006	ES21
000246647500016	FRG0
000235707900018	UKI3
000188838000004	NL33
000260757900019	UKJ1
000245329600124	SE12
000207495400005	EL63
000233723200009	FRK2
000186000400005	DEA1
000177889900002	FRI1
000258171500045	ITH5
000266855800014	ES24
000283648500007	BE35
000269196700019	CZ01
000166688300011	NL41
000241885900001	UKD7
000270563200037	PT11
000243736600030	CH01
000256939800009	DED2
000178290600011	FR10
000085689100003	UKI3
000186598700017	DEB3
000237479000017	PL51
000223719300023	RO32
000221732000017	ES41
000258038200004	UKD3
000248229600012	ES30
000229067300001	DE25
000266552500016	UKF1
000245042900010	FI1B
000085381200001	ITH5
000168794700049	DE11
000250934800023	DEB3
000232165900021	UKC1
000177510200006	FRK2
000180001200030	UKF2
000248185900013	HU11
000170753900023	FR10
000233603900108	SE22
000247848900001	ITI1
000242925400017	FRK2
000255120300055	FRL0
000258979800020	UKM7
000241405200080	SE22
000257101100032	UKJ1
000239287700002	FR10
000175439400022	UKH1
000257642700022	FRF1
000253441400011	DEC0
000259727900097	TRA1
000258493900138	DE60
000257448500038	CH02
000268264400012	SE12
000261390800075	ITH4
000246723000021	DE25
000251014300041	UKD6
000166635200026	ITH5
000253358300034	DK01
000183467500010	FRF1
000086130200014	DED2
000257563900073	UKM8
000236084100002	DE21
000265316800008	FRI1
000234920200016	DE21
000250910500031	EL30
000261563300005	FRF1
000180001200009	ITF4
000177569800002	CZ03
000257113300038	NL33
000261484000019	BE24
000259140400002	DE21
000171721100021	CH02
000256591400026	CZ01
000235799500002	UKH1
000258258800012	ITH5
000265829300115	AT13
000182000300019	UKE3
000298302000080	DE13
000270539400028	FRK2
000172682300007	DE26
000255877100003	DE30
000179731000046	ES52
000265528600027	FR10
000176356700012	AT22
000263167000005	FRK2
000253115300015	FRH0
000172434500015	DK02
000221127600011	FRI3
000178508800029	BE24
000253237900016	UKM7
000233508800003	FRF1
000230734100001	ES11
000280464300033	ES61
000303385200031	DE21
000251448900011	RO32
000184358500006	EL63
000247937300023	ES61
000168455900003	CH02
000248321000007	ITF6
000267273300183	ITH4
000172165900001	UKE4
000263818900025	DE30
000243380800012	UKG3
000085707000038	FRD1
000189479800020	IE05
000181211300002	DK02
000230330300086	DE23
000169868300032	CZ01
000246465000043	ES51
000166393700046	DE11
000233856900003	DE30
000239425900120	SE22
000269356900022	UKM7
000263763500007	FRG0
000236981200013	DE71
000226834500134	EE00
000186123100001	NL41
000238893000007	DED2
000238782900145	PT17
000184497900187	DK05
000258258700073	RO12
000222005200006	ITC4
000252257700057	DEB3
000257885400026	EL30
000222976100110	FRE1
000250353700007	PL21
000250989600029	CZ01
000087132000006	ES61
000220781900040	BE21
000265618700035	BE32
000246104100023	TR31
000245489800016	TR10
000225103000022	ITH5
000224726800015	EL52
000260574500048	UKG3
000239921800049	BE32
000187435300002	DEA5
000085248500035	NO08
000175757600125	ITF3
000186683500042	UKH1
000248929100046	FR10
000184568300095	DEA1
000183526900010	ITI1
000263921700067	FR10
000248362100014	TRC2
000224587600755	BE24
000271352000025	ITC4
000086599000002	FRJ1
000261710700015	RO32
000251354100006	UKK1
000246056200044	UKH1
000260715800034	ES51
000181815700005	UKI3
000244500600018	UKI3
000085707000043	FRL0
000223251900014	EL63
000264661400002	UKH1
000237762800029	DK04
000241407600006	DEE0
000262676000012	ITH5
000263512300007	BE23
000269850300052	BE24
000226414500001	NL21
000244364600044	ITH5
000249155400074	ITC1
000173880900003	DE12
000244063100008	FRG0
000272777100003	PL91
000251276200003	CH05
000253283700032	CH01
000089510000007	FRF1
000257413400110	DK01
000258223900002	ES51
000267727400004	ITF4
000227823500039	TR51
000224316200017	DE21
000222531400105	DEA5
000291445400141	UKF1
000242899400029	ITC4
000228953100005	FRH0
000253656400001	EL52
000263529600032	ITG2
000234968600005	AT31
000240901100015	DEE0
000241641900021	ES30
000234836200038	FRB0
000260234600015	SE11
000253600400020	PL51
000239915500012	UKJ4
000174240600006	PL71
000233379300008	UKE3
000249890700007	DEE0
000269930100017	FRK2
000260383900018	ES51
000244063100008	ES42
000189459500016	DE91
000254510300089	DE13
000264522600006	UKJ1
000223716700020	ES30
000264746300009	ES61
000231719900007	ITF1
000249893300026	FRK1
000242966000006	HR05
000179320000010	FRK2
000228987700019	NL32
000231993000005	ES52
000232544400024	DE60
000230232100001	FRF1
000261377400044	NL32
000243415200036	DE30
000174498700011	FR10
000186033500007	UKK4
000266036700009	TR22
000250604600024	EL30
000181586500031	ITH5
000223053300010	UKI3
000257968700021	SE23
000238213200002	PL41
000318362400026	BE32
000175905200001	FR10
000185897800021	UKJ3
000255456700012	DEA5
000224432800020	ITC4
000244009600005	FRI1
000229170500045	ES30
000258680500065	FRF3
000269082000007	DE30
000172089900017	UKJ1
000238988500008	NL41
000272047300003	SE12
000271132700009	DE94
000253106400027	TR51
000273036300004	ITF4
000189463900057	FRK2
000286029400046	DE23
000246909900012	PL51
000224786800019	AT22
000254024800064	ES61
000183177300004	UKN0
000263088700012	UKE2
000243324700008	DE91
000267631000052	ES30
000240412200005	ES52
000253519600048	EL43
000184524400015	NL22
000268689000010	FRF1
000264108100003	BE23
000361226900006	DEA2
000180227400027	FR10
000295853500075	CH02
000236358100037	ITC4
000187670700034	BE32
000266253100009	UKI3
000226226700031	UKJ1
000233494500038	ES30
000241646700014	HU23
000262282700001	ITH2
000170065100021	IE05
000249283000008	ITH5
000225708300037	DEG0
000251799800027	DE30
000320681700002	DE30
000167948900003	DE12
000252942800015	PT15
000248953700022	FR10
000180630200072	ES30
000269197500075	IE06
000173356900029	FI19
000246723100011	UKG3
000258660600036	CH04
000266046000001	NL33
000243898300003	FR10
000228837600044	ES30
000280762001352	ITF4
000268157100085	PT11
000251435200064	TR41
000246589600020	UKG3
000183253000040	DEA1
000238969700002	UKM8
000266381900085	TR51
000167474900068	FRH0
000262977900033	FRL0
000250911700019	UKC1
000240384000076	FRF3
000226714400008	DE24
000239336600044	UKI3
000238284500018	IE06
000237224500011	DE30
000247145500048	DE21
000232175200024	DEA2
000232934400018	ITI4
000185222500006	FI1B
000173044900021	FRJ1
000086055000005	UKN0
000235068100042	ITI1
000232053900009	TR31
000251986500054	FI19
000254471800023	UKD7
000286087400003	TRC3
000185547100019	UKI3
000255041400039	ES51
000179515700016	FRG0
000221209400002	DK02
000273995000127	UKI3
000269699200014	FRJ1
000272597500001	FR10
000239287700033	PL91
000263803300068	NL32
000185830900020	DK01
000168831200209	DE24
000184768600066	DEB3
000260613600006	DED5
000260222400008	UKI3
000253081100014	SE23
000271127800009	TR51
000268399500028	DE30
000239542900021	DE12
000265874700024	DE25
000207058000010	UKJ2
000220431500004	FRI3
000224174200010	UKJ1
000167524700028	PT16
000227719500013	DE92
000187893200003	UKJ3
000165822100033	DE71
000240384000028	UKI3
000257043600004	FRH0
000256023400034	DEA2
000253400900019	ES30
000087539700002	NO06
000183592000009	AT13
000257330200010	DEA1
000227923000012	FRI1
000247863800005	DK01
000181422900019	AT33
000185143400128	DE25
000254670300057	FRK2
000183289100123	DE11
000177242200002	ES51
000233419800007	UKH1
000237080700019	FRK2
000176703300017	FRI3
000183642900042	DEG0
000260941700025	ES30
000227566000053	DE92
000166058900031	ITI2
000244680400023	NL32
000225706900017	ITH5
000256135000006	LT01
000087741300014	DE11
000268373200009	UKE3
000261445900034	DE11
000273163300004	DEA3
000221259000019	TR51
000173851300048	NL31
000085746400006	SI04
000267101900003	UKL1
000185828300012	FI1D
000258493900067	ES30
000252970600047	UKE4
000269699200018	ITG1
000228287300039	AT13
000239282300023	UKD3
000182316100027	FRK2
000244208700009	DED2
000238415400001	DE21
000272455900015	NL41
000246330200001	DED5
000247625000065	FRK2
000178501000032	UKJ1
000227107500020	ES41
000252156600004	NO06
000171531200045	DE30
000171839300017	SE33
000248073600006	UKE3
000265945200085	DEA1
000232582400003	PL91
000273125900005	IE06
000235009700079	FRE1
000166737800053	AT31
000261171100015	DED2
000230624000044	ITG1
000231246600018	UKK1
000242873400002	ES30
000174428700007	FR10
000253763900013	CH01
000220120000005	UKM7
000255723500019	NL32
000221894700005	ES62
000259270600012	DK05
000244039700018	ES22
000229117700015	DEB3
000264554400003	PL21
000232723700036	DE60
000240460100043	NL41
000246457200043	NL31
000255365100014	NO08
000176594700072	FR10
000238295900015	UKL2
000221705700012	NL11
000252863100009	FR10
000258329100015	FI1C
000313331100048	FRK2
000171254700016	SE33
000226415900004	DK03
000270097400048	EL54
000246990300018	ITH4
000226080700008	ES11
000220342700076	HR05
000188715000021	DEA1
000236294300067	ITH4
000221994700018	NL41
000170302200103	SI04
000222874300012	FRK2
000247614800012	ITH4
000244854900038	DE30
000180368600027	DEA1
000223725000009	UKE3
000185554500027	FRK2
000174534800062	BE32
000241894100026	ES11
000241857200004	FRK2
000234338700096	DED4
000267944800029	DEA4
000236452700020	DE26
000089552800021	NL22
000240612700056	ITH4
000220560700046	BE24
000250724000011	ITH5
000263598300028	IE06
000085163300011	PL91
000251841700018	FRK2
000256747900009	PL51
000258532102195	ITH5
000297093500007	UKF2
000230579900048	FRI1
000235228600024	HU11
000250810300081	UKF1
000258380300015	DE40
000254544800009	UKJ4
000230439500044	NL33
000232558200066	CH04
000267877700006	NL32
000166804500003	AT13
000236629900032	BE24
000264691800012	DEB3
000267302900042	DEA2
000271244500047	DK05
000087778100008	FRK2
000233684500043	DE12
000271271500065	DE14
000258493900098	FI1C
000225908600006	FI1C
000249566100012	BE21
000268368400038	NL11
000239181300003	CH04
000220663800011	UKC2
000259651700005	RO21
000244470600020	UKD3
000253830300045	RO22
000238249000065	BG41
000168035300012	ES51
000255345500002	DEA4
000168741500288	UKC1
000223555000059	DE30
000208396300001	UKN0
000224729600035	FRK2
000221275300010	NL21
000237155100046	UKE3
000237814500007	UKH1
000235126700004	EL30
000249280900005	UKI3
000248345500013	DE91
000246804100009	FRK2
000228627400021	DEA2
000227578700012	ES30
000261000000009	DEA1
000253303400014	FRD2
000227892100003	DE72
000262857800027	LT01
000226727800010	DE11
000252776000003	UKM7
000179408000012	DE11
