ut	nuts2
000419538500044	UKE1
000356198800001	ES51
000304585300003	FR10
000292662100005	TR33
000384783000002	DE25
000490982400001	UKF1
000417354600009	ITI4
000280889100004	FR10
000297121300003	FRB0
000357670400010	DEA2
000306253300012	FR10
000281134400011	DE14
000402220400012	UKJ2
000470328800004	TR10
000443795000035	PL21
000291013500011	PL21
000319085500050	TR33
000334601900003	ES51
000330952900041	TR10
000334601900006	FR10
000445517400015	IE04
000348643900003	DE92
000298299705013	DE60
000423156900115	RO11
000279758000014	TR33
000346092000070	UKM7
000458467900016	DK05
000334601900003	ES41
000381529400005	PL51
000393000700035	ITG1
000302789700038	EL30
000331568300003	FR10
000471089300038	TR10
000418533400135	BE21
000372833500026	ITG1
000360654200023	ITF6
000360491100006	ES51
000374438100009	TR10
000366063500061	ITH3
000274666100020	ES61
000278195100020	EL30
000374141500003	IS00
000295589400006	UKI3
000374617000051	UKI3
000390494600072	UKG3
000326614100008	ITC4
000403566100031	ITG2
000464495500008	PL21
000326016400007	TR33
000358627100026	CH04
000313794400015	TR42
000302018900014	ES61
000359955400052	TRC1
000298124000014	UKI3
000326243500020	UKH2
000368629100005	ES70
000320286600067	UKI3
000361257600003	TRC1
000326370400007	DEA3
000351173200003	TR10
000301169300016	ES51
000324077800026	UKF1
000353755100051	ES13
000407870000011	PL21
000346850700016	ES51
000376800200011	UKJ2
000289899400003	TR10
000377021500039	TR10
000377909200087	ITH3
000313788700002	FR10
000435663800011	SE12
000322292800046	PL71
000343627300003	UKI3
000281344000046	TRC1
000400282600002	ITC4
000388601200037	DE25
000430708900022	UKI3
000424765000017	DK04
000472689800017	UKJ2
000276181100009	NL22
000298299705117	UKK1
000363068900035	DE21
000305392400016	NO0A
000484603400001	NO0A
000358627100027	FRE1
000419147303038	CH01
000363080200017	TRC1
000359875100046	NL33
000445987200006	CH04
000306721000007	NO0A
000241249100013	FRK2
000304618800003	ITI4
000365994200386	ITF3
000360654200023	ITI1
000336778700009	ITC1
000411537200078	ITG1
000277488900008	TR32
000432499200012	UKH1
000322157700010	ES61
000279743500031	TR90
000086398600004	EL30
000283410400012	ITC1
000358455100119	ES61
000380869600008	ES52
000361413400059	UKC2
000298299703071	FRB0
000448462700016	NO08
000330491400018	FRK2
000283618400010	NO08
000453489800028	UKH1
000428629500005	NL33
000485094604034	LT01
000335200900012	FRE2
000327904200037	TR33
000315543100004	FRJ1
000362016100004	FRJ2
000367110200013	DEG0
000399847100002	TR71
000339535000003	SE12
000301620600010	DE21
000432499200012	UKF1
000383400800002	TR10
000412787600015	TR33
000430269200051	DE21
000298256400002	UKI3
000354505000021	DE11
000498747800006	EL30
000423156900115	PT17
000384641000042	ES61
000187671200004	UKM8
000345364200040	DE40
000419944100024	ITH2
000325830900037	TR32
000423156900115	DK04
000423008500020	DED5
000412457800005	UKM7
000477652900096	IE06
000383293800029	UKJ3
000441855100029	ITH3
000357146500019	FRJ2
000308326700014	DE40
000382875000003	FR10
000414666100035	UKM9
000407954300027	UKC1
000285820300012	DE14
000316377200003	FRJ1
000331510700009	UKL2
000396730900009	CH04
000377757900002	TR31
000187671200004	EL30
000346850700016	FR10
000484603400001	IE06
000426755300002	DE25
000358458100033	ITH3
000293115600053	TRC3
000400160500012	CH04
000423156900115	ITH2
000281499200009	FR10
000341340200005	DE40
000426216400028	ITC4
000384783000002	DE12
000345701300225	UKC2
000301169300016	FR10
000483635000041	TR10
000445114700002	UKJ2
000400160500012	UKJ1
000336654900010	FRB0
000280889100005	FR10
000453489800028	DE12
000189084700015	NL22
000290975500016	FRK2
000275166900064	DE21
000305308500009	CH04
000333782500003	FRK2
000373751300017	DE25
000360654200023	FRJ2
000403431000012	UKI3
000465051900080	FRB0
000353732300003	UKM7
000357146500019	UKI3
000464495500008	PL82
000345701300225	UKE4
000330952900041	TR42
000353732300003	ES61
000390457600003	UKM8
000394399700007	EL30
000409285600004	FRK2
000381833200058	BE33
000336109200025	NL22
000282503500012	TR33
000467771400051	UKG3
000376790400004	ES51
000384958100032	CH03
000423156900115	ITI2
000391899400010	HU21
000315194900012	FRJ2
000447112600046	DK04
000341335500016	DEA2
000486860500003	EL30
000423156900115	BE33
000405757600005	PL21
000298299703106	FR10
000315702700005	DE21
000326294800006	ES61
000416300400105	UKF1
000454007900004	UKM7
000378004200009	ES51
000378831100002	CH04
000327457600019	DE25
000297033500004	DE40
000389144600012	DE30
000390624800012	UKF1
000345410700122	CH01
000316580200005	TRB1
000305296700025	ITG1
000358627100027	FRI2
000360867600051	NL33
000330494600013	TR63
000331675800002	ES24
000335200900021	FRB0
000380917200014	CH01
000415768400114	ITH5
000279137900013	FRJ1
000469761700088	ES41
000279758000014	TR31
000417070500001	ITF6
000381986800008	DE25
000443915600005	TR81
000335429500021	ITH3
000367413000050	AT33
000374542300003	ES12
000291895100024	UKI7
000300648100046	ES51
000381063200002	UKM9
000299139800010	TR51
000337013200035	FRD1
000353097200019	TR31
000313953500006	UKJ1
000312745200003	TR51
000393045900004	TR10
000383293800029	FR10
000341764500008	EL51
000337261500019	BE23
000413622000012	TR10
000303035400002	IE04
000321724000035	SE11
000319775900016	SE33
000272001100015	SE31
000362862100100	EL52
000351942000032	DE24
