ut	nuts2
000085248500003	UKI3
000086603100015	AT33
000086892500045	UKH1
000086892500045	UKI3
000087196400010	DEA2
000087229800002	DE11
000087229800002	ITI4
000087229800002	UKF2
000087229800002	UKJ1
000089250600013	UKI3
000089269600002	UKM8
000089306200006	CH01
000089431300001	UKC1
000089772800036	UKF2
000089929100007	FRF1
000165518700007	NL22
000165518700007	UKF2
000166515000012	CH01
000166515000016	DE13
000166515000016	HU33
000166558200014	CH01
000167096400016	UKF2
000167253200037	FRK2
000167474900034	DE13
000167544600057	UKG1
000167544600057	UKJ3
000167544700054	DE13
000167639000007	ITI4
000167639000007	NL22
000168081800003	CH01
000168271800003	DE13
000168622400007	UKC1
000168622400007	UKF2
000169138300015	EL52
000169393800008	CH04
000169393800008	CH06
000169522100020	HR03
000169884200042	DEA1
000169897300053	SK01
000169923500006	ES70
000170148500050	UKJ3
000170600800048	UKH1
000170600800048	UKI3
000170910900498	UKE3
000171079400031	UKJ3
000171526500061	DEA1
000171593000085	NO06
000171593200035	NO06
000171840700023	FI19
000171840700023	FI1D
000172007500006	UKG3
000172007500006	UKJ1
000172013800052	DE13
000172013800052	DE14
000172013800052	HU33
000172507500020	DE14
000172824500042	HU33
000172824500042	UKG3
000173003900004	FI1B
000173303900003	TR42
000174050900009	UKE3
000174050900009	UKJ1
000174050900009	UKK1
000174382200013	UKC2
000174382200013	UKD3
000174414900025	UKH1
000174414900025	UKI3
000175142200034	DE13
000175567400002	UKI3
000175786600003	UKF2
000176323000011	NO06
000177045000021	DE13
000177045000021	HU33
000177065400013	DE13
000177065400013	HU33
000177183300014	DE13
000177183300014	HU33
000177634400001	DE21
000177753200003	DE13
000177753200003	DEG0
000177831500023	ITF3
000178419200006	DEA1
000178587400006	DE21
000178587400006	ITH4
000178587600001	EL30
000178587600001	FRG0
000178587600001	IE05
000178587600001	PT17
000178587600001	SE23
000178587600001	UKM7
000178683400052	AT22
000178748500199	EL30
000179209900006	UKE4
000179209900006	UKK1
000179414100012	UKJ3
000179718900002	NO08
000179764600002	IE05
000179764600002	IE06
000180527800023	SE12
000181259000012	UKJ4
000181284200002	HU12
000181284200002	HU33
000181807500007	UKG3
000182284700001	DED2
000182284700001	DED4
000182310700009	ITH4
000182870000051	UKD3
000182870000051	UKH1
000182939400124	DE13
000183048600001	BE10
000183080300014	UKE3
000184467900009	DEA1
000184497900278	ITF4
000184712300001	NL32
000184821900005	NL22
000184821900005	NL31
000185580800007	DE13
000185580800007	HU33
000186622000019	IE05
000186920900001	DE11
000186920900001	DE13
000186920900001	FR10
000186920900001	UKC2
000187310900009	NL33
000187528700017	DE13
000187528700020	UKF2
000187730100003	ITH4
000187891400248	DK05
000188872500004	ITH5
000189238600042	DEB3
000202897200662	UKE3
000204232900014	NL41
000206300800004	UKF2
000206300800004	UKM7
000207508100007	AT13
000207508100007	CH04
000207602900001	UKM7
000208787900006	IE06
000220342200008	ITF6
000220431100002	UKE3
000221033000004	FI1B
000221312700007	UKD4
000221312700007	UKH1
000221556400011	NO08
000221845700006	UKI3
000221984700009	DE13
000221998600002	TR10
000222154100005	FRE1
000222183900010	TR31
000222219000181	PT17
000223131400055	IE05
000223342000007	UKK1
000223927000006	DEA1
000223962100030	UKJ1
000223962100030	UKJ3
000224015800011	CH01
000224136000040	CH04
000224141500049	UKI3
000224178300031	PT17
000224263400006	SE11
000224399000009	FR10
000224411400051	PT17
000224536200009	DE13
000224536200009	HU33
000224690200014	UKL1
000224756700045	UKD3
000224936200006	BE23
000225423700002	ITC1
000225479900021	AT22
000225792900013	DE13
000226244600004	CH01
000226317800021	PL91
000226838700004	DE12
000227028900014	DE13
000227203100028	SE12
000227279600003	UKC1
